"strain"	"isolate"	"genbank_title"	"length"	"country"	"host"	"date"
"KY703948.1"		"Chikungunya virus strain CHIKV/Homo sapiens/NIC/1889.1D/2015, complete genome"	11307	"Nicaragua"	"Homo sapiens"	2015-08-18
"KY703949.1"		"Chikungunya virus strain CHIKV/Homo sapiens/NIC/1824.1C/2015, complete genome"	11959	"Nicaragua"	"Homo sapiens"	2015-01-15
"KY703950.1"		"Chikungunya virus strain CHIKV/Homo sapiens/NIC/1790.1C/2014, complete genome"	11952	"Nicaragua"	"Homo sapiens"	2014-11-25
"KY703951.1"		"Chikungunya virus strain CHIKV/Homo sapiens/NIC/5883.12A1/2015, complete genome"	11611	"Nicaragua"	"Homo sapiens"	2015-05-08
"KY703952.1"		"Chikungunya virus strain CHIKV/Homo sapiens/NIC/CKVGH13/2015, complete genome"	12035	"Nicaragua"	"Homo sapiens"	2015-03-09
"KY703954.1"		"Chikungunya virus strain CHIKV/Homo sapiens/NIC/1758.1C/2014, complete genome"	11307	"Nicaragua"	"Homo sapiens"	2014-05-11
"KY703955.1"		"Chikungunya virus strain CHIKV/Homo sapiens/NIC/2741.12.A.1/2015, complete genome"	12136	"Nicaragua"	"Homo sapiens"	2015-08-17
"KY703956.1"		"Chikungunya virus strain CHIKV/Homo sapiens/NIC/7172.11A1/2014, complete genome"	11634	"Nicaragua"	"Homo sapiens"	2014-10-28
"KY703957.1"		"Chikungunya virus strain CHIKV/Homo sapiens/NIC/7555.12A1/2015, complete genome"	11999	"Nicaragua"	"Homo sapiens"	2015-05-09
"KY703958.1"		"Chikungunya virus strain CHIKV/Homo sapiens/NIC/1985.1C/2015, complete genome"	11775	"Nicaragua"	"Homo sapiens"	2015-11-25
"KY703959.1"		"Chikungunya virus strain CHIKV/Homo sapiens/NIC/1800.1D/2014, complete genome"	11306	"Nicaragua"	"Homo sapiens"	2014-03-12
"KY703960.1"		"Chikungunya virus strain CHIKV/Homo sapiens/NIC/1864.1C/2015, complete genome"	12136	"Nicaragua"	"Homo sapiens"	2015-05-08
"KY703961.1"		"Chikungunya virus strain CHIKV/Homo sapiens/NIC/7101.12.A./2015, complete genome"	11571	"Nicaragua"	"Homo sapiens"	2015-06-08
"KY703962.1"		"Chikungunya virus strain CHIKV/Homo sapiens/NIC/11630-15/2015, complete genome"	11959	"Nicaragua"	"Homo sapiens"	2015-01-10
"KY703963.1"		"Chikungunya virus strain CHIKV/Homo sapiens/NIC/1913.1C/2015, complete genome"	11328	"Nicaragua"	"Homo sapiens"	2015-07-09
"KY703965.1"		"Chikungunya virus strain CHIKV/Homo sapiens/NIC/1909.1C/2015, complete genome"	11306	"Nicaragua"	"Homo sapiens"	2015-03-09
"KY703966.1"		"Chikungunya virus strain CHIKV/Homo sapiens/NIC/4036.12.A.1/2015, complete genome"	11791	"Nicaragua"	"Homo sapiens"	2015-10-12
"KY703967.1"		"Chikungunya virus strain CHIKV/Homo sapiens/NIC/8976.12.A.1/2015, complete genome"	12136	"Nicaragua"	"Homo sapiens"	2015-12-08
"KY703968.1"		"Chikungunya virus strain CHIKV/Homo sapiens/NIC/1837.1D/2015, complete genome"	11445	"Nicaragua"	"Homo sapiens"	2015-01-23
"KY703969.1"		"Chikungunya virus strain CHIKV/Homo sapiens/NIC/1773.1C/2014, complete genome"	12136	"Nicaragua"	"Homo sapiens"	2014-11-14
"KY703970.1"		"Chikungunya virus strain CHIKV/Homo sapiens/NIC/14905-15/2015, complete genome"	12136	"Nicaragua"	"Homo sapiens"	2015-11-28
"KY703971.1"		"Chikungunya virus strain CHIKV/Homo sapiens/NIC/14906-15/2015, complete genome"	11456	"Nicaragua"	"Homo sapiens"	2015-11-28
"KY703972.1"		"Chikungunya virus strain CHIKV/Homo sapiens/NIC/1805.1E/2014, complete genome"	11867	"Nicaragua"	"Homo sapiens"	2014-09-12
"KY703973.1"		"Chikungunya virus strain CHIKV/Homo sapiens/NIC/6523.12.A.1/2015, complete genome"	11307	"Nicaragua"	"Homo sapiens"	2015-06-11
"KY703974.1"		"Chikungunya virus strain CHIKV/Homo sapiens/NIC/1910.1C/2015, complete genome"	11775	"Nicaragua"	"Homo sapiens"	2015-03-09
"KY703975.1"		"Chikungunya virus strain CHIKV/Homo sapiens/NIC/11091-15/2015, complete genome"	11307	"Nicaragua"	"Homo sapiens"	2015-09-22
"KY703976.1"		"Chikungunya virus strain CHIKV/Homo sapiens/NIC/6450.12A1/2015, complete genome"	11633	"Nicaragua"	"Homo sapiens"	2015-05-09
"KY703977.1"		"Chikungunya virus strain CHIKV/Homo sapiens/NIC/1835.12A1/2015, complete genome"	11663	"Nicaragua"	"Homo sapiens"	2015-03-08
"KY703978.1"		"Chikungunya virus strain CHIKV/Homo sapiens/NIC/14648-15/2015, complete genome"	12136	"Nicaragua"	"Homo sapiens"	2015-02-12
"KY703979.1"		"Chikungunya virus strain CHIKV/Homo sapiens/NIC/11093-15/2015, complete genome"	11307	"Nicaragua"	"Homo sapiens"	2015-09-22
"KY703980.1"		"Chikungunya virus strain CHIKV/Homo sapiens/NIC/6638.12A1/2015, complete genome"	11300	"Nicaragua"	"Homo sapiens"	2015-06-09
"KY703982.1"		"Chikungunya virus strain CHIKV/Homo sapiens/NIC/4040.12.A.1/2015, complete genome"	11709	"Nicaragua"	"Homo sapiens"	2015-11-30
"KY703983.1"		"Chikungunya virus strain CHIKV/Homo sapiens/NIC/1809.1E/2014, complete genome"	11710	"Nicaragua"	"Homo sapiens"	2014-11-12
"KY703984.1"		"Chikungunya virus strain CHIKV/Homo sapiens/NIC/1794.1C/2014, complete genome"	11775	"Nicaragua"	"Homo sapiens"	2014-11-27
"KY703985.1"		"Chikungunya virus strain CHIKV/Homo sapiens/NIC/1880.1D/2015, complete genome"	12136	"Nicaragua"	"Homo sapiens"	2015-08-13
"KY703986.1"		"Chikungunya virus strain CHIKV/Homo sapiens/NIC/1918.1C/2015, complete genome"	12136	"Nicaragua"	"Homo sapiens"	2015-09-16
"KY703987.1"		"Chikungunya virus strain CHIKV/Homo sapiens/NIC/1367.12.A.1/2015, complete genome"	11952	"Nicaragua"	"Homo sapiens"	2015-04-11
"KY703988.1"		"Chikungunya virus strain CHIKV/Homo sapiens/NIC/1793.1D/2014, complete genome"	11307	"Nicaragua"	"Homo sapiens"	2014-11-27
"KY703989.1"		"Chikungunya virus strain CHIKV/Homo sapiens/NIC/1802.1D/2014, complete genome"	11740	"Nicaragua"	"Homo sapiens"	2014-03-12
"KY703990.1"		"Chikungunya virus strain CHIKV/Homo sapiens/NIC/1983.1C/2015, complete genome"	12136	"Nicaragua"	"Homo sapiens"	2015-11-21
"KY703991.1"		"Chikungunya virus strain CHIKV/Homo sapiens/NIC/24044.1LA1/2015, complete genome"	11775	"Nicaragua"	"Homo sapiens"	2015-09-10
"KY703992.1"		"Chikungunya virus strain CHIKV/Homo sapiens/NIC/5695.12A1/2015, complete genome"	11783	"Nicaragua"	"Homo sapiens"	2015-05-08
"KY703993.1"		"Chikungunya virus strain CHIKV/Homo sapiens/NIC/1760.1C/2014, complete genome"	12136	"Nicaragua"	"Homo sapiens"	2014-07-11
"KY703994.1"		"Chikungunya virus strain CHIKV/Homo sapiens/NIC/13724-15/2015, complete genome"	12136	"Nicaragua"	"Homo sapiens"	2015-11-18
"KY703995.1"		"Chikungunya virus strain CHIKV/Homo sapiens/NIC/1882.1D/2015, complete genome"	11660	"Nicaragua"	"Homo sapiens"	2015-08-13
"KY703996.1"		"Chikungunya virus strain CHIKV/Homo sapiens/NIC/5024.12.A.1/2015, complete genome"	11571	"Nicaragua"	"Homo sapiens"	2015-12-26
"KY703997.1"		"Chikungunya virus strain CHIKV/Homo sapiens/NIC/4354.12.A.1/2015, complete genome"	11952	"Nicaragua"	"Homo sapiens"	2015-12-19
"KY703998.1"		"Chikungunya virus strain CHIKV/Homo sapiens/NIC/7156.12A1/2015, complete genome"	11694	"Nicaragua"	"Homo sapiens"	2015-06-08
"KY703999.1"		"Chikungunya virus strain CHIKV/Homo sapiens/NIC/1828.1C/2015, complete genome"	11952	"Nicaragua"	"Homo sapiens"	2015-01-19
"KY704000.1"		"Chikungunya virus strain CHIKV/Homo sapiens/NIC/1862.1C/2015, complete genome"	12136	"Nicaragua"	"Homo sapiens"	2015-05-08
"KY704001.1"		"Chikungunya virus strain CHIKV/Homo sapiens/NIC/1829.1C/2015, complete genome"	11617	"Nicaragua"	"Homo sapiens"	2015-01-21
"KY704002.1"		"Chikungunya virus strain CHIKV/Homo sapiens/NIC/1823.1C/2015, complete genome"	11307	"Nicaragua"	"Homo sapiens"	2015-01-15
"KU365366.1"	"CH-0008"	"UNVERIFIED: Chikungunya virus isolate CH-0008, partial genome"	11990	"Mexico"	"Homo sapiens"	2014-09-10
"KU365367.1"	"CH-0072"	"UNVERIFIED: Chikungunya virus isolate CH-0072, partial genome"	12037	"Mexico"	"Homo sapiens"	2014-07-11
"KU365368.1"	"TA-0006"	"UNVERIFIED: Chikungunya virus isolate TA-0006, partial genome"	11993	"Mexico"	"Homo sapiens"	2014-03-26
"KU365369.1"	"VE56/13"	"UNVERIFIED: Chikungunya virus isolate VE56/13, partial genome"	11476	"Trinidad and Tobago"	"Homo sapiens"	2014-01-01
"KU365370.1"	"DOH013"	"UNVERIFIED: Chikungunya virus isolate DOH013, partial genome"	11848	"Bangladesh"	"Homo sapiens"	2011-11-01
"KU365371.1"	"CS0056"	"UNVERIFIED: Chikungunya virus isolate CS0056, partial genome"	11835	"Bangladesh"	"Homo sapiens"	2011-11-01
"KU365374.1"	257263	"UNVERIFIED: Chikungunya virus isolate 257263, partial genome"	12097	"Venezuela"	"Homo sapiens"	2014-12-17
"KY751908.1"	"IN16C1"	"Chikungunya virus isolate IN16C1, complete genome"	11796	"Australia"	"Homo sapiens"	2016-01-01
"KX009167.1"	"Chik435"	"Chikungunya virus isolate Chik435, complete genome"	11765	"Thailand"	"Homo sapiens"	2013-01-01
"KX009168.1"	"Chik409"	"Chikungunya virus isolate Chik409, complete genome"	11620	"Thailand"	"Homo sapiens"	2013-01-01
"KX009169.1"	"Chik406"	"Chikungunya virus isolate Chik406, complete genome"	11652	"Thailand"	"Homo sapiens"	2013-01-01
"KX009170.1"	"Chik398"	"Chikungunya virus isolate Chik398, complete genome"	11658	"Thailand"	"Homo sapiens"	2013-01-01
"KX009171.1"	"Chik397"	"Chikungunya virus isolate Chik397, complete genome"	11616	"Thailand"	"Homo sapiens"	2013-01-01
"KY272961.1"	"N581"	"Chikungunya virus isolate N581 nonstructural polyprotein and structural polyprotein genes, complete cds"	11520	"Dominican Republic"	"Homo sapiens"	2014-01-01
"KY272962.1"	"N594"	"Chikungunya virus isolate N594 nonstructural polyprotein and structural polyprotein genes, complete cds"	11520	"Dominican Republic"	"Homo sapiens"	2014-01-01
"KY272963.1"	"N494"	"Chikungunya virus isolate N494 nonstructural polyprotein and structural polyprotein genes, complete cds"	11520	"Dominican Republic"	"Homo sapiens"	2014-01-01
"KY272964.1"	"N493"	"Chikungunya virus isolate N493 nonstructural polyprotein and structural polyprotein genes, complete cds"	11520	"Dominican Republic"	"Homo sapiens"	2014-01-01
"KY272965.1"	"N490"	"Chikungunya virus isolate N490 nonstructural polyprotein and structural polyprotein genes, complete cds"	11520	"Dominican Republic"	"Homo sapiens"	2014-01-01
"KY272966.1"	"N469"	"Chikungunya virus isolate N469 nonstructural polyprotein and structural polyprotein genes, complete cds"	11520	"Dominican Republic"	"Homo sapiens"	2014-01-01
"KY272967.1"	"N468"	"Chikungunya virus isolate N468 nonstructural polyprotein and structural polyprotein genes, complete cds"	11520	"Dominican Republic"	"Homo sapiens"	2014-01-01
"KY272968.1"	"N424"	"Chikungunya virus isolate N424 nonstructural polyprotein and structural polyprotein genes, complete cds"	11520	"Dominican Republic"	"Homo sapiens"	2014-01-01
"KY272969.1"	"N300"	"Chikungunya virus isolate N300 nonstructural polyprotein and structural polyprotein genes, complete cds"	11520	"Dominican Republic"	"Homo sapiens"	2014-01-01
"KY272970.1"	"N587"	"Chikungunya virus isolate N587 nonstructural polyprotein and structural polyprotein genes, complete cds"	11520	"Dominican Republic"	"Homo sapiens"	2014-01-01
"KY415978.1"	"Haiti-3/2014"	"Chikungunya virus isolate Haiti-3/2014, complete genome"	12037	"Haiti"	"Homo sapiens"	2014-05-29
"KY415979.1"	"Haiti-4/2014"	"Chikungunya virus isolate Haiti-4/2014, complete genome"	12037	"Haiti"	"Homo sapiens"	2014-05-29
"KY415980.1"	"Haiti-5/2014"	"Chikungunya virus isolate Haiti-5/2014, complete genome"	12037	"Haiti"	"Homo sapiens"	2014-05-06
"KY415981.1"	"Haiti-6/2014"	"Chikungunya virus isolate Haiti-6/2014, complete genome"	12037	"Haiti"	"Homo sapiens"	2014-10-06
"KY415982.1"	"Haiti-7/2014"	"Chikungunya virus isolate Haiti-7/2014, complete genome"	12037	"Haiti"	"Homo sapiens"	2014-11-06
"KY415983.1"	"Haiti-8/2014"	"Chikungunya virus isolate Haiti-8/2014, complete genome"	12037	"Haiti"	"Homo sapiens"	2014-02-06
"KY415984.1"	"Haiti-9/2014"	"Chikungunya virus isolate Haiti-9/2014, complete genome"	12037	"Haiti"	"Homo sapiens"	2014-06-24
"KY415985.1"	"Haiti-10/2014"	"Chikungunya virus isolate Haiti-10/2014, complete genome"	12037	"Haiti"	"Homo sapiens"	2014-08-13
"KY038946.1"	"ArB6445"	"Chikungunya virus isolate ArB6445, complete genome"	11805	"Central African Republic"	"Aedes opok"	1975-06-01
"KY038947.2"	"HB84P07"	"Chikungunya virus isolate HB84P07, complete genome"	11786	"Central African Republic"	"Homo sapiens"	1983-12-01
"KY057363.1"		"Chikungunya virus strain 119067, complete sequence"	11834	"India"	"Homo sapiens"	2016-08-28
"KU365372.1"	241	"UNVERIFIED: Chikungunya virus isolate 241, partial genome"	12004	"Colombia"	"Homo sapiens"	2014-12-18
"KX262986.1"		"Chikungunya virus strain CHIKV/Aedes furcifer/SEN/37937/1983, complete genome"	11707	"Senegal"	"Aedes furcifer"	1983-01-01
"KX262987.1"		"Chikungunya virus strain CHIKV/Homo sapiens/THA/SVO-451-96/1996, complete genome"	11671	"Thailand"	"Homo sapiens"	1996-01-01
"KX262988.1"		"Chikungunya virus strain CHIKV/Homo sapiens/THA/6307-88/1988, complete genome"	11869	"Thailand"	"Homo sapiens"	1988-01-01
"KX262989.1"		"Chikungunya virus strain CHIKV/Homo sapiens/ITA/Bianchi/2007, complete genome"	11757	"Italy"	"Homo sapiens"	2007-01-01
"KX262990.1"		"Chikungunya virus strain CHIKV/Unknown/XXX/23161/1959, complete genome"	11763			1959-01-01
"KX262991.1"		"Chikungunya virus strain CHIKV/Homo sapiens/SXM/H-20235-STMARTIN-2013/2003, complete genome"	11950	"Saint Martin"	"Homo sapiens"	2013-01-01
"KX262992.1"		"Chikungunya virus strain CHIKV/Homo sapiens/GLP/YO-111213/2014, complete genome"	11294	"Guadeloupe"	"Homo sapiens"	2014-05-01
"KX262993.1"		"Chikungunya virus strain CHIKV/Homo sapiens/ITA/Venturini/2007, complete genome"	11621	"Italy"	"Homo sapiens"	2007-01-01
"KX262994.1"		"Chikungunya virus strain CHIKV/Homo sapiens/GUF/YO-123223/2014, complete genome"	11702	"French Guiana"	"Homo sapiens"	2014-01-21
"KX262995.1"		"Chikungunya virus strain CHIKV/Aedes furcifer/SEN/37950/1983, complete genome"	11715	"Senegal"	"Aedes furcifer"	1983-10-07
"KX262996.1"		"Chikungunya virus strain CHIKV/Homo sapiens/CMR/667/2006, complete genome"	11570	"Cameroon"	"Homo sapiens"	2006-01-01
"KX262997.1"		"Chikungunya virus strain CHIKV/Homo sapiens/MYS/BS-285-C2/2009, complete genome"	11669	"Malaysia"	"Homo sapiens"	2009-01-01
"KU365373.1"	246	"UNVERIFIED: Chikungunya virus isolate 246, partial genome"	11992	"Colombia"	"Homo sapiens"	2014-12-01
"KX702401.1"		"Chikungunya virus strain Chikungunya virus Homo sapiens/Haiti-1/2014, complete genome"	12037	"Haiti"	"Homo sapiens"	2014-02-06
"KX702402.1"		"Chikungunya virus strain Chikungunya virus Homo sapiens/Haiti-2/2014, complete genome"	12037	"Haiti"	"Homo sapiens"	2014-09-06
"KX496989.1"		"Chikungunya virus strain Homo sapiens/COL/UF-1/2016, complete genome"	12037	"Colombia"	"Homo sapiens"	2016-09-02
"KT308159.1"	"CPCC007800Y01"	"Chikungunya virus isolate CPCC007800Y01, complete genome"	11631	"Philippines"	"Homo sapiens"	2012-01-01
"KT308160.1"	"CPCC017800Y01"	"Chikungunya virus isolate CPCC017800Y01, complete genome"	11631	"Philippines"	"Homo sapiens"	2012-01-01
"KT308161.1"	"CPCC065200Y01"	"Chikungunya virus isolate CPCC065200Y01, complete genome"	11754	"Philippines"	"Homo sapiens"	2012-01-01
"KT308162.1"	"CPCC083400Y01"	"Chikungunya virus isolate CPCC083400Y01, complete genome"	11522	"Philippines"	"Homo sapiens"	2012-01-01
"KT308163.1"	"CPCC095700Y01"	"Chikungunya virus isolate CPCC095700Y01, complete genome"	11562	"Philippines"	"Homo sapiens"	2012-01-01
"KX228391.1"	"BR33"	"Chikungunya virus isolate BR33, complete genome"	11601	"Brazil"	"Homo sapiens"	2016-03-03
"KU355832.1"	"RJ/CHIKV/2015"	"Chikungunya virus isolate RJ/CHIKV/2015, partial genome"	11670	"Brazil"	"Homo sapiens"	2015-01-01
"KX168429.1"	"MUM001-2009-Selangor"	"Chikungunya virus isolate MUM001-2009-Selangor, complete genome"	11900	"Malaysia"	"Homo sapiens"	2009-01-01
"KT192707.1"		"Chikungunya virus strain 11540, complete genome"	11889	"Nicaragua"	"Homo sapiens"	2014-10-31
"KU940225.1"	"Bahia08"	"Chikungunya virus isolate Bahia08, partial genome"	11804	"Brazil"	"Homo sapiens"	2015-07-15
"FR687340.1"	"MY/08/9405"	"Chikungunya virus gene for nonstructural polyprotein and gene for structural polyprotein, isolate MY/08/9405, genomic RNA"	11172	"Malaysia"	"Homo sapiens"	2008-08-21
"FR687341.1"	"MY/08/0978"	"Chikungunya virus gene for nonstructural polyprotein and gene for structural polyprotein, isolate MY/08/0978, genomic RNA"	11172	"Malaysia"	"Homo sapiens"	2008-05-11
"FR687342.1"	"MY/08/9487"	"Chikungunya virus gene for nonstructural polyprotein and gene for structural polyprotein, isolate MY/08/9487, genomic RNA"	11172	"Malaysia"	"Homo sapiens"	2008-10-11
"FR687343.1"	"MY/08/4567"	"Chikungunya virus gene for nonstructural polyprotein and gene for structural polyprotein, isolate MY/08/4567, genomic RNA"	11172	"Malaysia"	"Homo sapiens"	2008-12-12
"FR687344.1"	"MY/09/4506"	"Chikungunya virus gene for nonstructural polyprotein and gene for structural polyprotein, isolate MY/09/4506, genomic RNA"	11172	"Malaysia"	"Homo sapiens"	2009-12-01
"FR687345.1"	"MY/09/0873"	"Chikungunya virus gene for nonstructural polyprotein and gene for structural polyprotein, isolate MY/09/0873, genomic RNA"	11172	"Malaysia"	"Homo sapiens"	2009-05-02
"FR687346.1"	"MY/09/5557"	"Chikungunya virus gene for nonstructural polyprotein and gene for structural polyprotein, isolate MY/09/5557, genomic RNA"	11172	"Malaysia"	"Homo sapiens"	2009-02-16
"FR687347.1"	"MY/09/3467"	"Chikungunya virus gene for nonstructural polyprotein and gene for structural polyprotein, isolate MY/09/3467, genomic RNA"	11172	"Malaysia"	"Homo sapiens"	2009-12-02
"FR687348.1"	"MY/09/3611"	"Chikungunya virus gene for nonstructural polyprotein and gene for structural polyprotein, isolate MY/09/3611, genomic RNA"	11172	"Malaysia"	"Homo sapiens"	2009-03-04
"LN898093.1"	"M100"	"Chikungunya virus strain Caribbean strain, isolate M100, complete genome"	12230	"Martinique"	"Homo sapiens"	2013-12-01
"LN898094.1"	"G100"	"Chikungunya virus whole genome, strain Caribbean strain, isolate G100"	12230	"Guadeloupe"	"Homo sapiens"	2014-01-01
"LN898095.1"	"M101"	"Chikungunya virus whole genome, strain Caribbean strain, isolate M101"	12230	"Martinique"	"Homo sapiens"	2014-01-01
"LN898096.1"	"M102"	"Chikungunya virus whole genome, strain Caribbean strain, isolate M102"	12230	"Martinique"	"Homo sapiens"	2014-01-01
"LN898097.1"	"G101"	"Chikungunya virus whole genome, strain Caribbean strain, isolate G101"	12230	"Guadeloupe"	"Homo sapiens"	2014-01-01
"LN898098.1"	"G102"	"Chikungunya virus whole genome, strain Caribbean strain, isolate G102"	12230	"Guadeloupe"	"Homo sapiens"	2014-01-01
"LN898099.1"	"G103"	"Chikungunya virus whole genome, strain Caribbean strain, isolate G103"	12230	"Guadeloupe"	"Homo sapiens"	2014-01-01
"LN898100.1"	"M103"	"Chikungunya virus whole genome, strain Caribbean strain, isolate M103"	12230	"Martinique"	"Homo sapiens"	2014-01-01
"LN898101.1"	"M104"	"Chikungunya virus whole genome, strain Caribbean strain, isolate M104"	12230	"Martinique"	"Homo sapiens"	2014-01-01
"LN898102.1"	"G104"	"Chikungunya virus whole genome, strain Caribbean strain, isolate G104"	12230	"Guadeloupe"	"Homo sapiens"	2014-01-01
"LN898103.1"	"G105"	"Chikungunya virus whole genome, strain Caribbean strain, isolate G105"	12230	"Guadeloupe"	"Homo sapiens"	2014-01-01
"LN898104.1"	"M105"	"Chikungunya virus whole genome, strain Caribbean strain, isolate M105"	12230	"Martinique"	"Homo sapiens"	2014-01-01
"LN898105.1"	"M106"	"Chikungunya virus whole genome, strain Caribbean strain, isolate M106"	12230	"Martinique"	"Homo sapiens"	2014-01-01
"LN898106.1"	"M107"	"Chikungunya virus whole genome, strain Caribbean strain, isolate M107"	12230	"Martinique"	"Homo sapiens"	2014-01-01
"LN898107.1"	"M108"	"Chikungunya virus whole genome, strain Caribbean strain, isolate M108"	12230	"Martinique"	"Homo sapiens"	2014-01-01
"LN898108.1"	"M109"	"Chikungunya virus whole genome, strain Caribbean strain, isolate M109"	12230	"Martinique"	"Homo sapiens"	2014-01-01
"LN898109.1"	"M110"	"Chikungunya virus whole genome, strain Caribbean strain, isolate M110"	12230	"Martinique"	"Homo sapiens"	2014-01-01
"LN898110.1"	"G106"	"Chikungunya virus whole genome, strain Caribbean strain, isolate G106"	12230	"Guadeloupe"	"Homo sapiens"	2014-01-01
"LN898111.1"	"G107"	"Chikungunya virus whole genome, strain Caribbean strain, isolate G107"	12230	"Guadeloupe"	"Homo sapiens"	2014-01-01
"LN898112.1"	"M111"	"Chikungunya virus whole genome, strain Caribbean strain, isolate M111"	12230	"Martinique"	"Homo sapiens"	2014-01-01
"KT336777.1"	"RGCB711/09"	"Chikungunya virus isolate RGCB711/09, complete genome"	11237	"India"		2009-08-04
"KT336778.1"	"RGCB855/10"	"Chikungunya virus isolate RGCB855/10, complete genome"	11237	"India"		2010-07-16
"KT336779.1"	"RGCB1259/12"	"Chikungunya virus isolate RGCB1259/12, complete genome"	11237	"India"		2012-03-08
"KT336780.1"	"RGCB1264/12"	"Chikungunya virus isolate RGCB1264/12, complete genome"	11237	"India"		2012-03-08
"KT336781.1"	"RGCB1356/13"	"Chikungunya virus isolate RGCB1356/13, complete genome"	11237	"India"		2013-06-03
"KT336782.1"	"RGCB1431/13"	"Chikungunya virus isolate RGCB1431/13, complete genome"	11237	"India"		2013-05-27
"KR046227.1"	"VE53_20"	"Chikungunya virus isolate VE53_20, complete genome"	12003	"Trinidad and Tobago"	"Homo sapiens"	2014-08-30
"KR046228.1"	"VE54_19"	"Chikungunya virus isolate VE54_19, complete genome"	12003	"Trinidad and Tobago"	"Homo sapiens"	2014-11-09
"KR046229.1"	"VE56_9"	"Chikungunya virus isolate VE56_9, complete genome"	12003	"Trinidad and Tobago"	"Homo sapiens"	2014-09-17
"KR046230.1"	"VE56_13"	"Chikungunya virus isolate VE56_13, complete genome"	12003	"Trinidad and Tobago"	"Homo sapiens"	2014-09-18
"KR046231.1"	"VE54_20"	"Chikungunya virus isolate VE54_20, complete genome"	12003	"Trinidad and Tobago"	"Homo sapiens"	2014-09-11
"KR046232.1"	"VE56_20"	"Chikungunya virus isolate VE56_20, complete genome"	12003	"Trinidad and Tobago"	"Homo sapiens"	2014-09-20
"KR046233.1"	"VE57_2"	"Chikungunya virus isolate VE57_2, complete genome"	12003	"Trinidad and Tobago"	"Homo sapiens"	2014-09-20
"KR046234.1"	"VE55_4"	"Chikungunya virus isolate VE55_4, complete genome"	12003	"Trinidad and Tobago"	"Homo sapiens"	2014-12-09
"KT327163.2"	"CH0008"	"Chikungunya virus isolate CH0008, complete genome"	12193	"Mexico"	"Homo sapiens"	2014-01-01
"KT327164.1"	"CH0045"	"Chikungunya virus isolate CH0045, complete genome"	11954	"Mexico"	"Homo sapiens"	2014-01-01
"KT327165.2"	"CH0072"	"Chikungunya virus isolate CH0072, complete genome"	12177	"Mexico"	"Homo sapiens"	2014-01-01
"KT327166.2"	"LI0031"	"Chikungunya virus isolate LI0031, complete genome"	12176	"Mexico"	"Homo sapiens"	2014-01-01
"KT327167.2"	"TA0006"	"Chikungunya virus isolate TA0006, complete genome"	12176	"Mexico"	"Homo sapiens"	2014-01-01
"KR559470.1"		"Chikungunya virus strain WHCHK1, complete genome"	12004	"USA"		2014-11-01
"KR559471.1"		"Chikungunya virus strain WHCHK2, complete genome"	12010	"El Salvador"		2014-10-01
"KR559472.1"		"Chikungunya virus strain WHCHK3, complete genome"	12010	"El Salvador"		2014-06-01
"KR559473.1"		"Chikungunya virus strain WHCHK4, complete genome"	12012	"French Polynesia"		2015-02-01
"KR559474.1"		"Chikungunya virus strain WHCHK5, complete genome"	12010	"USA"		2014-09-01
"KR559475.1"		"Chikungunya virus strain WHCHK6, complete genome"	12008	"El Salvador"		2014-09-01
"KR559476.1"		"Chikungunya virus strain WHCHK7, complete genome"	12004	"Haiti"		2014-07-01
"KR559477.1"		"Chikungunya virus strain WHCHK8, complete genome"	12008	"Dominican Republic"		2014-07-01
"KR559478.1"		"Chikungunya virus strain WHCHK9, complete genome"	12010	"Haiti"		2014-05-01
"KR559479.1"		"Chikungunya virus strain WHCHK10, complete genome"	12011	"Dominican Republic"		2014-04-01
"KR559480.1"		"Chikungunya virus strain WHCHK11, complete genome"	12009	"USA"		2014-09-01
"KR559481.1"		"Chikungunya virus strain WHCHK12, complete genome"	12007	"Guatemala"		2014-09-01
"KR559482.1"		"Chikungunya virus strain WHCHK13, complete genome"	12010	"USA"		2014-08-01
"KR559483.1"		"Chikungunya virus strain WHCHK14, complete genome"	12004	"USA"		2014-10-01
"KR559484.1"		"Chikungunya virus strain WHCHK15, complete genome"	12010	"El Salvador"		2014-11-01
"KR559485.1"		"Chikungunya virus strain WHCHK16, complete genome"	12010	"USA"		2014-10-01
"KR559486.1"		"Chikungunya virus strain WHCHK17, complete genome"	12005	"Panama"		2014-11-01
"KR559487.1"		"Chikungunya virus strain WHCHK18, complete genome"	12011	"Honduras"		2014-07-01
"KR559488.1"		"Chikungunya virus strain WHCHK19, complete genome"	12011	"Honduras"		2014-09-01
"KR559489.1"		"Chikungunya virus strain WHCHK20, complete genome"	12011	"Jamaica"		2014-10-01
"KR559490.1"		"Chikungunya virus strain WHCHK21, complete genome"	12011	"Guyana"		2014-08-01
"KR559491.1"		"Chikungunya virus strain WHCHK22, complete genome"	12011	"Colombia"		2014-08-01
"KR559492.1"		"Chikungunya virus strain WHCHK23, complete genome"	12011	"Saint Lucia"		2014-08-01
"KR559493.1"		"Chikungunya virus strain WHCHK24, complete genome"	12014			2014-01-01
"KR559494.1"		"Chikungunya virus strain WHCHK25, complete genome"	12011	"USA"		2014-07-01
"KR559495.1"		"Chikungunya virus strain WHCHK26, complete genome"	12010	"USA"		2014-07-01
"KR559496.1"		"Chikungunya virus strain WHCHK27, complete genome"	12010	"Guyana"		2014-07-01
